\outl0\strokewidth0 \strokec2 ,tweet,class,class2
5202,@user @user @user oh i'm sooooo impressed!!!!! chimp broad-speak 'uneducated low info mongoloi @url,0,1
5207,@user @user @user leftist read social media posts hated refugees immi @url,0,1
5214,@user that's got mom buy headphones really fuck animal ass killed faggot,0,1
5223,turkish president liar hates america fun raghead sucks big time,0,1
5224,getting called faggot walk home. @url,0,1
5237,news country trump would call shithole @url,0,1
5240,#usa becomes #shithole country #illegal uncontrolled immigration distant futur @url,0,1
5247,@user @user @user they're really bypassing one country indonesia shithole @url,0,1
5251,dem dumb nigger genes you. they'll join party actively trying exterminate them.,0,1
5256,goes dumb ass negro @url,0,1
5276,@user @user stupid speccy retard free dub,0,1
5304,@user daughter jew simplistic retard.,0,1
5305,y'all hoes dumb stupid retarded??? wanna kno,0,1
5313,jk rowling tory twat imo @url,0,1
5321,@user games till faggot,0,1
5328,@user @user yeah cunt. drew this? ,0,1
5334,@user go work negro!,0,1
5347,@user @user gonna track fucker defuse him. dont want isis members round ends. twat.,0,1
5357,get life retard,0,1
5360,despicable #zionazi bastards. nn#bds #freepalestine #freegaza #idfcowards #satanyahu #zionists #israel @url,0,1
5364,undoubtedly best centre half premier league history. possibly biggest cunt premier league history als @url,0,1
5365,anti-@user ad: man pilgrim screw t-shirt lambasts .@user giving tax money immigrants. guy...youre @url,0,1
5372,bro...i love nigger! @url,0,1
5381,beauty living shithole country. live post office broken device would never del @url,0,1
5383,@user bout get called spic brb,0,1
5393,glenn hoddle rushed hospital collapsing. nnwhere's god eh glenn? cunt past life @url,0,1
5394,nigger votes way.,0,1
5407,country's honest-to-god shithole. fuck irrelevant foreigner. former leader murder capital th @url,0,1
5412,someone take pricks head off. cunt interviewed too. @url,0,1
5428,@url webcam weeb gamenretard starter pack,0,1
5447,@user i've thinking i'm glad spic @user dead,0,1
5479,@user bandri go back country pakistan country country afghanistan,0,1
5481,lobbies childhood ni've called wetback spic many times. @url,0,1
5494,@user fuck talking fat four eyed fucking retard!,0,1
5505,retarded ur gonna get cheese touch,0,1
5506,way people stop massacre shooting future getting rid trump retard cult-follo @url,0,1
5508,hate niggas really think i'm entertain conversation dyke fucks .. move yo goofy ass around nigga.,0,1
5519,@user please go back country. disgraceful start campaign honest pm uptill now.,0,1
5524,hi i'm faggot love tryna cure depression staying away tamagochi (haha kawaii sudoku ( u03c9  @url,0,1
5547,there's better word disrespect describe jensen especially plays liss. retarded.,0,1
5553,@user lmao shes retarded u tell go outside walks inside,0,1
5555,count californians pretty retarded. @url,0,1
5558,also cho chang last names thanks picking slight variation ching chong one @url,0,1
5565,shutup nigger @url,0,1
5574,@user they're alright tbf seem attract mongy element gigs,0,1
5587,found 10 envelopes say ching chong,0,1
5601,@user extremely...looking neighbors braaing like guys need go back country,0,1
5602,@user aryan nations? 2002 lost whole organization retard went th @url,0,1
5617,reason people want use ethnic slurs. reason people want say faggot bad. people want offens @url,0,1
5631,@user @user leaving shithole countries turn europe continent full shithole countries.ngo home!!!,0,1
5642,@user @user @user maybe @user lied trump use shithole countries @url,0,1
5643,@user @user retard :) x,0,1
5645,(2/2) like fucking twat i'm damage heal you. ran biotic energy. gu @url,0,1
