HITId,tweet,class,class2,rand
472,Ça fait 5 ans que je suis dans cette fausse à purin remplie de sjw mal baiser de bobo gauchiste ethno-masochiste d'… @url,1,1,0.252203988
709,@user listo mongol ya trollié mi duo minglee,1,1,0.252821649
1444,l'algérie expulse des migrants africains et les laisse mourir dans le dé... @url via @user,1,1,0.252938168
2866,@user @user c’est déjà mieux que l’islamisation le grand remplacement est inévitable alors autant fai… @url,2,2,0.253331624
895,@user y'a aussi plein de pays africains qui ne sont pas en guerre pouvant les accueillir. avant que ce dé… @url,2,2,0.253363029
3293,@user @user @user @user @user deformation de bobo gauchiste aime. ce que je ve... @url,1,1,0.253854615
795,@user dit le gauchiste. quand reçoit des menaces de l extrême gauche et voit les millions de dégâts et les… @url,2,2,0.253883956
2169,franchement j'ai regarder des reportage sur les renois qui vivent en corée ils tiennent pas du tout le même discour… @url,2,2,0.254154051
1111,@user @user citation du responsable de l'etude que tu n'as sans doute pas lu : c'est vrai qu'... @url,2,2,0.254202455
383, #justice : @user s'attarde sur la relation chaotique entre pouvoirs judiciaire et politique… @url,1,1,0.254331556
994,ah les rebeus c’est réel hein :) @url,1,1,0.254553423
3447,@user sans emploie hhhhh. c'est un rebeu qui lui pris ça place. quelle grosse merde. de toute façon les fachos… @url,1,1,0.254652876
3887,@user @user sale juif...non je ne crois pas vu sa tete mais arabe de service...pur hallal ça oui... @url,1,1,0.254702259
3332,@user @user @user @user @user bonjour je suis un gauchiste bobo et je reveille a... @url,2,2,0.25471516
78, le hashtag #pasdevague sonne enfin le glas de l'ideologie laxiste gauchiste qui predomine depuis des annees au se @url,1,1,0.254912932
35,@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnabl… @url,0,1,0.254921722
223,tiens j'ai une blague de mongol pour égayer votre lundi...,1,1,0.254995779
3983,@user @user @user @user non c'est plutot que tu es un gauchiste et que ceux-ci ont touj... @url,1,1,0.255002562
1661,@user j’suis le renois le plus gentil au monde..,2,2,0.255137498
1011,@user vous sous entendez donc que quand les musulmans nous disent le terrorisme c'est pas l'islam ils mentent ???,2,2,0.25521774
1017,donc la y’a vraiment des mongol qui font la purge,1,1,0.255448358
3413,@user @user kyrgios mdr quoi ... le mec c'est un putain d'attardé un gosse de riches mal éduqué,1,1,0.256275152
3806,@user @user mdr tu m'entends rire de là où t'es j'espère les mongols ont juste eu un grand territo… @url,1,1,0.256458119
1765,#aquarius il sera intéressant de voir ce que fera macron... terrorisme intellectuel des ong @url,1,1,0.257127565
1435,@user @user tu fais dla pub aux renois toi,2,2,0.25814767
3323,@user fait * gros attardé,1,1,0.258157821
2920,@user @user @user jtai di sest jms parler vrmt attardé,1,1,0.258343302
1736,@user c’est pas que les renois elle parle mal wllh elle met tt le monde dans le mm sac j’aime pas surtt que y’… @url,1,1,0.25857529
335,‘’ eux ils ont jamais froid ils ont peur des noirs et des arabes mais ils ont pas peur du froid ‘’ aller hop il refait matinée,1,1,0.259284013
1939,sale grosse merde de juif est une insulte antisémite.,1,1,0.25944508
1015,@user de mongol,1,1,0.259755274
448,@user zalut tu n’aime pas les juif ? pourquoi voyon ? sale raciste,1,1,0.260627199
1686,@user chaque femme dispose de son corps. les accidents ça arrive. toi qui est contre l’avortement ça te… @url,1,1,0.260748877
3635,voici comment l’afp immigrationiste et mondialiste islamo gauchiste et dans son essence anti #trump trouve le moyen… @url,1,1,0.261089284
1206,parole y’a trop d’attardé sur les réseaux.,1,1,0.261176826
1651,rt @user @user @user @user le gauchiste est aveugle il rend sourd et aveugle. le gauchiste ne se pose p,1,1,0.261298614
2475,je comprends mieux les noirs et les rebeus depuis qu'en thaïlande j'ai des problèmes d'immigration,1,1,0.261481674
1326,unf mongol,1,1,0.261965517
2339,mdrrrr saint denis c’est vraiment l’afrique ko,2,2,0.262804093
297,@user c'est tout de même un sacré raccourci que de relier les rothschild à une théorie du complot antisémite… @url,1,1,0.263708695
400,@user et ds les campagnes ..ou macron met 72 migrants dans un village de 400 personnes...et ou vont aller l… @url,0,1,0.26406119
2375,et... quelques autres clips sur lesquels il faut que je m'attarde un peu plus. x),2,2,0.264615736
1381,rt @user j'suis pas un gauchiste mais la il 100% raison. c'est inadmissible @user les poissons ont besoin de plus d'espac,1,1,0.264885586
56,@user @user liebig . comme tout bon gauchiste attise le racisme anti blanc et anti français !!!!,1,1,0.265293653
3896,@user moi c'est un médecin qui fait des blagues de cul en mode faluchard attardé bien occupé à gérer son image… @url,1,1,0.265416078
267,je vais vous le refaire pour votre plaisir: toi prof gauchiste qui gagne une misere qui critique l'autorite quand @url,1,1,0.265542251
2216,@user @user bah toi tu est encore moins je te le dis. tu beau etre pede jy suis pas donc bouge a... @url,1,1,0.26564791
402,@user votre pensee est saine et normale sonia nous sommes dans l'ideologie gauchiste mondialiste immigrationniste et suicidaire,1,1,0.26598348
2533,est allé à la boutique nespresso ptdr le mec il demandé si achetait du café pr l’hôtel il vu deux renois… @url,2,2,0.266275523
3095,@user dites moi pouvez vous faire la liste des prix nobel par exemple de ceux que vous qualifiez :juif… @url,1,1,0.266287717
3203,le sénateur pillon est contre l’avortement contre le mariage gay contre le divorce et contre les pensions aliment… @url,0,1,0.266931165
3208,sah priez le dieu en qui vous croyez reunissez les 7 boules de cristale pour que l’attardé espagnole gauche joue bien,1,1,0.267339386
3256,y’a pas quelqu’un qui sait trouver la vidéo du mongol de ricardo qui chante sch la ?,1,1,0.267756489
1338,libre le film de @user est un hymne à la collaboration avec la colonisation de peuplement africaine et ar… @url,2,2,0.268091199
3400,@user mgr cattenoz c'est pas ce méchant identitaire attardé tradi qui voulait rechristianiser les écoles… @url,2,2,0.26831076
2233,la banque mondiale va débloquer 80 millions de dollars pour les réfugiés et les communautés d’accueil au #niger.… @url,2,2,0.26882852
2156,@user c un peu écris ds le tn mongol,1,1,0.268851935
3693,@user issa c’est une transcription arabe de jesus donc raconte pas ta vie sale inculte et tu vois pas je te ca… @url,1,1,0.269765903
824,rt @user la diarrhee gauchiste en pls...n#bolsonaro @url,1,1,0.269850578
1607,@user je précise ça non pas pour ton tweet maisnpour l'autre mongol parlant de la purge de cette nuit. ce n… @url,2,2,0.26991045
1713,rt @user tous les conservateurs soutenant wauquiez sont de reelles gauchiste refoule ! nle vote utile c'est rn point barre ! vou,1,1,0.270192569
2317,@user t’as deja lu des noms rebeus ou polonais non ? pourtant tu parles pas les deux de naissance je pense p… @url,1,1,0.270795585
2879,pas d'amalgames espece de gauchiste @url,1,1,0.270862534
3898,y'a un guide touristique mongol qui parle de genghis khan le boug est mignon,1,1,0.271807016
458,@user @user @user les bobo attardé sont justement ceux qui disent que bigflo et oli sont les meilleur ra… @url,1,1,0.271936465
967,grèce. À thessalonique les migrants continuent d’arriver ! @url,2,2,0.271952764
137,@user c pas pro wallah c à cause d’eux qu’on est tous vu comme des mongol,1,1,0.272149952
3586,@user @user vous avez si mal ? si il préfère les renois c'est ses goûts pourquoi direct mal parler ?,2,2,0.272350235
652,@user oui mais là depuis le matin je ne suis pas attardé après le match,2,2,0.273001588
3353,@user les manifestants d’ #idleb et d’ #alep sont le symbole du courage de la résistance et de la résili… @url,2,2,0.273040058
1645,si votre femme vous interdit de mettre une grande claque dans la tete de votre mongol de fils vous faites quoi,1,1,0.27340282
1470,@user @user c’est l’idole de tous les renois ce fdp,1,1,0.273978127
381,@user @user @user @user non mais c’était un sarcasme mongol... t’es vraiment pas fini,1,1,0.274047055
650,@user /o je sais pas. je comprends pas. j'en ai marre. va encore se reprendre toute cette violence dans la gueule. #lassitude,2,2,0.274125214
933,@user toujours tu vas trop loin ,2,2,0.274390515
2060,que des attardés comprennent pas l’anglais ok mais alors toi c’est très très gênant donc ou tu le fais exprès ou t’… @url,1,1,0.27480998
2081,que cara mongol man mds,1,1,0.274852891
301,grèce: les transferts de réfugiés et migrants vers le continent s’accélèrent @url @url,0,1,0.27491903
2744,@user @user tg sale juif,1,1,0.275008856
93,@user que des renois qui sont d'accord avec son tweet ...,2,2,0.275454675
1664,@user comme propagande gauchiste et dictaturielle vous faites fort,1,1,0.275483041
2962,ptdr elle dit « c’était pas mon tour » en mode c’est logique c une attardé mental @url,1,1,0.276115319
1488,c’est tout le temps les meufs rebeus de 30 ans célibataires qui ont ce genre de problème @url,1,1,0.276214728
1666,@user grave genre l'empire mongol ou un truc comme ça,1,1,0.276340946
1958,y’a un des renois il va lui prendre le maillot va lui dire allez dégage morveux @url,0,1,0.276475192
250,Ça tombe bien le territoire recrute! moûtiers : 19 réfugiés arriveront début octobre @url,1,1,0.276837926
1720,@user le bobo gauchiste qui va nous dire que cette chanson haineuse est la faute du rn.,1,1,0.27729551
256,@user au jz tu trainais avec des rebeus et des footeux ?,1,1,0.277537149
2199,@user @user @user faut être un mongol pour frapper quelqu'un pour du ballon,1,1,0.277898964
3162,les négationnistes du terrorisme musulman sont aussi odieux que les négationnistes des chambres à gaz. les attaques… @url,1,1,0.277923961
2696,prenez moi pour cque vous voulez mais le délire des meufs rebeus en france c’est vraiment ce qu’il de plus dégo… @url,0,1,0.278541113
3529,vraiment des moments où je demande comment peut être aussi attardé quand les gens s'y mettent. et c'est q… @url,1,1,0.279301189
2238,mdrrr redresses tes yeux d’abord pour mieux lire les tweets des meufs renois et après tu viens l’ouvrir . merci @url,1,1,0.279604977
940,@user @user faut vraiment être un attardé pour soutenir les femens. oui à l égalité homme femme non aux degenerés,1,1,0.27962143
3014,salut cest celui qui fait le mongol en ranked — jsuis en larmes @url,1,1,0.27964412
2006,@user un peuple attardé au il faudrait anéantir ils font chier la planète entière avec leur croyance e… @url,1,1,0.27974577
2581,putain j’ai une envie de graille noich ça fait 2j mais maladie m’empêche d’avaler des substances solides aidez moi,1,1,0.280150926
648,pas sûr je suis même persuadée que #zemmour... c'est la pensée dominante des français hors gauchistes bien sûr c… @url,2,2,0.280156339
3408,@user @user @user @user @user @user un perroquet gauchiste? ,1,1,0.280258419
952,sosracisme.... je préfère ne rien écrire.... cette association gauchiste ne sert à rien ! @url,1,1,0.280609904
2089,@user @user @user cela veut dire que legault et la caq sont pour les migrants illegaux . a… @url,1,1,0.280693958
1162,la il est juste attardé @url,1,1,0.280843844
3546,@user @user @user @user encore un autre mongol qui veut se donner bonne conscience a… @url,1,1,0.281287237
3841,@user mdrrrr il plus de chance qui s’attarde sur nico robin,1,1,0.281860352
850,@user des autiste attardé jte dit,1,1,0.282192082
351,@user il se demande s'il bien fait de se mettre avec une mante qui fait du chant mongol.,2,2,0.28252588
3175,@user @user m'appelle pas cherie connard tu sais pourquoi je suis au sommet parce que demain... @url,1,1,0.282997154
2998,Être contre la peine de mort mais militer à fond pour l'avortement... si toi aussi tu fais caca sur la logique de… @url,1,1,0.2831738
309,@user quand fait du choc des civilisations la base de la lutte contre le terrorisme revigore l'at… @url,2,2,0.283413653
2894,nouveau virage à gauche du ps revenu dans l'opposition. après le mandat hollande… faire de l'accueil des migrants… @url,2,2,0.283818755
1204,@user @user @user @user @user oui tu es un gauchiste car tu mets tout… @url,1,1,0.284503472
3212,dans le plus grand des calmes la presse gauchiste continue sa propagande contre nature:nelle dit pingouins alors qu @url,1,1,0.285145036
2303,hé mais mère c'était le père de famille wsh. mes parents sont l'inverse des clichés renois mdrjebdnd c'est m… @url,1,1,0.28523114
3830,@user @user @user donnez l’exemple vielle mentalité gauchiste!!,1,1,0.285278481
1961,@user caddie vu que t'aime pas les animés sale attardé de chien bourré des bois @url,1,1,0.285463422
2785,@user @user @user @user @user @user chaque année ya un mongol qui fait cette photo,1,1,0.286223372
410,@user pourquoi contre les autistes? je trouve ça débile d'en faire une sorte de chose obligatoire mais… @url,2,2,0.286336186
1288,@user @user alerte mongol.,1,1,0.286533873
1719,@user @user l'islam n'est pas le terrorisme... je veux dire l'extrémisme et il existe dans toutes l… @url,2,2,0.287003613
682,les migrants ne gagnent/reçoivent pas davantage de l'état que les p… @url,2,2,0.287569341
1365,@user @user @user pourquoi semi ? n...est jamais trop aide parait-il.,2,2,0.288038121
3359,@user @user euh je ne suis vraiment pas attardé sur ‘’ belle fille’’ hein je demande si tu dé… @url,2,2,0.288225004
3916,@user intello-gauchiste? ???? comprends pas! ,2,2,0.288775138
1580,@user oui c’est vrai &lt;3,2,2,0.288826606
3289,@user @user attali qui compare les juifs aux migrants. c'est une légitimisation de la violence contre les anti-immigration.,2,2,0.28985275
1245,@user @user @user @user Ça sent le gauchiste vexé...fin de la discussion!,2,2,0.289907475
1760,les renois sa mère ils payent jamais les taxis,0,1,0.289931088
11,#duisburg 4 réfugiés arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru qu’elle p… @url,0,1,0.290022806
1087,les réfugiés oubliés - 1 million de juifs chassés des pays arabes @url,1,1,0.290035204
3249,@user @user @user se faire insulter de fragile par un gauchiste de 40 kilos qui porte un boubou et q... @url,1,1,0.290242593
3068,imagines te traite de « sale arabe » mais t’es pas arabe,1,1,0.29040662
2446,ton squad de négros et rebeus fragiles au pissotoire chacun regarde le zizi de l'autre,1,1,0.290493364
3997,@user sale arabe ça va c beau,1,1,0.290811665
592,@user @user c est le resultat de l ideologie gauchistequi au nom de l'egalite des chances veut g... @url,2,2,0.291209956
3366,@user @user espérons néanmoinsil se ferait violence en prenant son argent qu'il pouvait réclamer par… @url,2,2,0.291222268
1048,@user @user @user mais ferme ta gueule il raison c'est putain de raciste ce qu'il vient de faire l'attardé bavarois là,1,1,0.291230412
1600,dois mongol,1,1,0.291297877
2182,né le 23 septembre 1215 kubilai khan khan mongol puis empereur de chine de 1279 à 1294 († 18 février 1294),1,1,0.291497389
2360,@user ptdr même pas en rêve sale ouf j’nique sa race l’agresseur et je mets une tarte à mon ex en guise de remerciement genre,1,1,0.291522569
3003,je sais même pas comment peut garder une de self-control devant un mongol pareil. arrêtez de vous plaindre… @url,1,1,0.292275029
1689,@user @user exactement ! comme y'a des rebeus et des turcs qui prennent des prénoms civilizi pour passer crème !!!,0,1,0.292423491
887,tout les renois en sueur devant ce tweet @url,1,1,0.292462472
2767,la préférence islamiste de la gauche est motivée par le clientélisme mais également par l’anticléricalisme.,2,2,0.29253451
1279,des meufs : « mon style de gars c’est les renois » un mois après elle sorte avec des jérémy #cesoirtribunal,0,1,0.292815252
3694,@user @user tu tiens ta cause perdue d'avance,2,2,0.292837802
3141,@user ah mais je suis completement d'accord le probleme etant que les questions de genre sont deja loin @url,1,1,0.29285706
3894,@user @user @user fin du game je m’attarde pas avec des gens qui parle sans savoir merci au r… @url,2,2,0.293024064
2986,@user je sais mongol t'as fait la même réponse au tweet de base,1,1,0.293261007
3881,@user @user oui ça j’ai vu le tweet mais jparle de elle à traiter les arabes,2,2,0.293421248
1762,les meufs (rebeu et renois) vs êtes déjà sorti avec un blanc ?,1,1,0.29345345
460,« moi je suis un africain je vais te pliÉ » @url,2,2,0.293513415
2062,cause de l’autre fdp et sa blague pas trop d’enculé une femme morte égorgé bravo guignol génération d’attardé,1,1,0.293598001
3278,@user @user @user @user @user et la société complète cautionne la violence de l'au… @url,2,2,0.293645851
2837,petit moment romantique sur une balançoire au bord de la mer @url,2,2,0.293704592
3643,@user @user tu ne peux pas parler au nom des rebeus de même que je ne pzux pas parler au nom des blancs.,2,2,0.294285376
2343,@user @user @user personne ne s'attarde sur le fait qu'elles sont plusieurs avoir des batraciens dans l’œsophage ?,2,2,0.294456537
283,@user weeeee joyeux anniversaire sale juif,1,1,0.29469748
1924,donc bassem vient clairement d'appeler tt les turcs qui habitent à tours de tuer les renois enfin de venger le père… @url,1,1,0.295098942
1316,tous les conservateurs soutenant wauquiez sont de reelles gauchiste refoule ! nle vote utile c'est rn point barre ! @url,1,1,0.295208911
196,mais joséphine arrive à pecho des rebeus avec sa couleur de cheveux? — mdr vous la sous-estimez beaucoup trop @url,1,1,0.295316667
1835,@user @user sachant que 85/90% des musulmans sont sunnites donc ouii il assimile l’islam au terrorisme,2,2,0.295456175
865,@user @user c'est à dire que tu doutes de la violence des migrants ? du doute d'une réalité ? tu sais po… @url,1,1,0.295510517
3311,@user @user @user @user pour defendre les arabes il n’a pas d’autre argument que des insutes.… @url,1,1,0.295602411
1105,rt @user @user ce mec qui beneficie de la complaisance de l'idiotvisuel est aussi con que son pere ancien gauchiste,1,1,0.295908901
127,@user dirait un gros daron antillais sur la derniere,2,2,0.296109078
2388,quel mongol ce grosjean,1,1,0.296664976
3425,@user @user toi sur mère ta un problème mentale c’est pas possible t’est attardé frère tu t’é… @url,1,1,0.296798926
2174,@user e r c,2,2,0.296810054
2664,@user la france est surtout une chance pour ces gens migrants rebeu blackos 2 3 generations et plus. si cela… @url,1,1,0.296967172
3122,@user arrêtez de tout minimiser comme cela sale homme cisgenre blanc phallocrate non juif et dominateur!!!… @url,1,1,0.297881049
3855,@user trop negro nous aussi n'est content de retrouver. merci le parolier,2,2,0.29797939
395,Ça se passe en europe. danske bank 1ère banque danoise et plaque tournante de l'argent sale russe via l'estonie.… @url,1,1,0.298002121
2260,@user tu ficou mongol,1,1,0.298085289
2255,@user @user @user @user tu é mt mongol robson,1,1,0.299159135
2218,@user @user nique ta mere toi sale juif de merde,1,1,0.299351787
3096,dans toutes les larmes s'attarde un espoir .,2,2,0.299462322
3740,@user @user quand j'etais gamin mon meilleur pote était juif. je ne l'ai su que lorsqu'un maghrébin l'a… @url,2,2,0.300337516
1193,je comprend pas pourquoi vous prenez les gens contre l'avortement pour des attardés à croire c'est un débat simple… @url,2,2,0.300650491
1512,la seule différence que j'ai trouvé entre rich kid et famous dex c'est que famous dex est attardé sinon c'est la même merde,2,2,0.300772472
139,les chemins montagneux à 1700 m: les nouvelles voies empruntées par les migrants africains pour rejoindre l’italie… @url,1,1,0.301013643
3424,@user @user repasse tes vêtements sale arabe ( je le fais pas ),1,1,0.301391146
1282,@user quand 20 de q.i généralement s’abstient de donner son avis sur quelque chose qu’on maitrise pas l’attardé,1,1,0.302278544
2961,#ericzemmour juge marine le pen « d’islamo-gauchiste [...] qui menace l’identité française ». @url,2,2,0.302341603
1702,ptdr il la découpé dirait les renois au foot staprem @url,1,1,0.302845807
3970,@user @user @user ptn je ne vais même pas lire le thread gauchiste je sens que je vais psychoser à mort,2,2,0.302920168
3859,@user il commence à avoir l'apparence de son âge et non d'un adolescent attardé. l'épreuve de la réalité murit.,1,1,0.303159384
2567,le torchon gauchiste des inrocks justifie le clip de l'autre fils de pute.,1,1,0.303160844
2277,mdr jacquemus il est un peu raciste des arabes moi j'dis sa jdis rien,2,2,0.303925757
2335,avec les chauffeurs rebeus tu pars en retard t'arrives en avance,1,1,0.30437097
1544,@user bah je sais bien merci mdr jsuis pas attardé justement c’est pour être sûr d’avoir le disque de platine,1,1,0.304813981
3860,@user inadmissible.. surement de la racaille gauchiste,0,1,0.304841144
992,sasuke est bête mais naruto est attardé donc sasuke @url,0,1,0.305131767
1614,les clans arabes f… @url,1,1,0.305160097
1153,quel ramassis d’attardé @url,2,2,0.305415007
3724,@user @user @user #fbpe et ex socialiste le parfait exemple du facho gauchiste pro macron qu... @url,1,1,0.305425991
237,@user @user j’aimerais bien savoir pourquoi « l’islamogauchiste » est votre ennemi principal et… @url,2,2,0.305615211
3655,@user @user @user @user whallah wallah tiens des rebeus de citée wesh sur le coran ...,2,2,0.305867361
1849,@user @user regarde moi ce mongol chui ko,1,1,0.30587358
3052,les meufs rebeus elles ont toutes le collier avec le pendentif bleu là j’comprends pas,1,1,0.305924099
1953,@user j...avais grave besoin d...entendre ca merci mec !,2,2,0.306003515
3760,vous ne méritez même pas qu'on s'attarde sur vos cas. @url,1,1,0.306051604
3467,@user @user commando marine gauchiste c'est triste,2,2,0.306383149
2798,: [mon petit frère qui raconte qu'un russe à dit sale arabe à un garçon du collège,1,1,0.306391363
3272,@user ouais et maître gims ne pousse pas des hurlements stridents toutes les trente secondes comme un attardé!,1,1,0.306857249
3931,@user ptdrrr le mec qui tient ce compte c un renois d’abidjan,1,1,0.307007247
1274,@user @user @user et c la que c est une diversion et que le terrorisme n est pas causer par l im… @url,2,2,0.30740661
820,@user @user @user @user @user deja faut etre un attarde pour comparer un viol et un... @url,2,2,0.307656268
3867,@user @user @user et dites aussi vive le front national pendant que vous etes ! c'est une... @url,2,2,0.307718688
1304,@user parce que genre la plus part des renois surtout au states été matrixer donc il fallu que black p… @url,2,2,0.307943409
2453,le figaro un journal pour bobo attardè !!! @url,1,1,0.30846168
3551,@user @user vous confondez islam radical et terrorisme islamique. le premier mène parfois au second mais son… @url,1,1,0.308647716
2628,@user les balkaniques font tout par la violence et la sauvagerie. ces peuples n'auront jamais la paix int… @url,0,1,0.308699824
2573,@user @user les animaux se tuent entre eux #jdcjdr,2,2,0.308814784
791,@user @user sale raciste je suis amazigh et je ne stigmatise pas les arabes et puisque tu es contre les a… @url,1,1,0.310364652
1211,@user attardé,1,1,0.310509159
1871,ta des renois faut leur retirer leur permis aussi c'est des dangers du volant,1,1,0.310818902
743,c’est un gauchiste normal qu’il soit con @url,1,1,0.311127541
3466,@user en fait en tant qu'agent de securite la loi nous interdit de palper sur une personne du meme sexe (... @url,2,2,0.311290552
1993,@user @user @user c'est pas à toi que je parle. t'as pris le melon sale arabe. ( jeu de mot) lol,2,2,0.311485084
3710,@user @user il te copie avec sexe,2,2,0.311682468
2705,loon plage : une femme violemment agréssée par un groupe de migrants @url,2,2,0.31223512
532,#rime terminé : une aventure touchante qui mérite qu’on s’y attarde ne serait ce que pour son final absolument sp… @url,1,1,0.312563015
2852,dommage cette défaite mais ne s'attarde pas sur ce match et se concentre directement sur le suivant ! come on… @url,2,2,0.312715578
902,y’a quand même un mec qui dit « les beurrettes laisse placent aux beurrets » ce n’est pas psk des rebeus ne sont… @url,1,1,0.313138187
2010,@user j’ai 30x ton niveau manette ça fait 2 semaines j’étais c/s pour ça que j’ai tweet mongol vas,1,1,0.313533838
734,@user @user ta vie m'interesse pas sale bouffone. retourne glorifiez un systheme qui te bouffe d... @url,1,1,0.313726394
2002,@user c’est un peu l’enfant attardé de la famille j’ai du mal à lui en vouloir,1,1,0.313861913
2402,@user pendant 40 ans ânonné : l’immigration (africaine) une chance pour la france ! les résultats… @url,0,1,0.314041321
1069,@user faut déja être attardé pour comparer patrick sebastien de la symphonie,1,1,0.314486542
2539,@user oui et ne veut pas non plus des migrants islamo-africains !,0,1,0.314921559
1392,@user moi la première fois que je t’ai vu je suis dis : « putain encore un sale arabe »,1,1,0.315262927
1043,@user aah c'est bon ta repris les cours ?,1,1,0.315559472
3961,@user qui est il ? le pure produit d'une idéologie islamo-gauchiste descendant de la grande période de collaborat… @url,1,1,0.31600609
1775,des gens qui font des films de merde sur le handicap mental je suppose que ça te dérange aussi sale féministe… @url,1,1,0.316443789
2498,attend elle fantasme sur le renois jusqu’à elle rêve d’un cuni waou #insecurehbo,1,1,0.316510634
2660,@user c'est totalement le cas deja essaye de prononcer ca la tele et tu verras c'est un peu comme l'expression gauchiste,0,1,0.316510803
955,@user tellement facile de taper sur zemmour allez vous faire les dents sur les racailles rebeus du 93 pour l… @url,1,1,0.317085216
1816,nana akufo-addo: stop : la vente aux enchères comme esclaves des migrants africains en lybie - signez la pétition … @url,1,1,0.317218375
2244,@user ce gros mongol est journaliste bordel,1,1,0.317362146
384,@user @user @user nan c’est pas à cause de clarie c’est à cause de son sale arabe mdrr,1,1,0.317436825
744,@user @user j'ai pas dit que t'écrivais à place espèce de giga mongol j'ai bien dit que j'écrivais de… @url,1,1,0.318021417
3959,@user t’es fière de toi mongol,1,1,0.318056867
3713,@user @user mds tu é mongol,1,1,0.318205748
1308,@user tu es sale comme juif...,0,1,0.319130245
2315,@user @user @user @user @user qu’est-ce que vous en fait de zemmour l’arabe il est rac… @url,1,1,0.319350727
661,@user @user juste une question: si je traite un noir ou un arabe de sale arabe ou sale black c'est d… @url,1,1,0.319570432
2460,Ça m’fume les renois quand ils rigolent ils sont obligés de tapé un 200m sprint @url,2,2,0.319718013
280,c'est qui le mongol qui se lève à 4h et qui se pointe au boulot alors qu'il est en vacance? c'est moi ;),1,1,0.320557794
2357,je viens d’essayer de le faire avec mes lunettes et je louchais comme un mongol @url,1,1,0.320636753
161,@user @user @user mdrr dirait le mien j’dois le réanimer toutes les 5 minutes ce mongol..,1,1,0.320669628
1778,@user bah oui les juifs leurs frères dans l'oppression.,1,1,0.320726007
